playerNum1,card1,suit1,playerNum2,card2,suit2,playerNum3,card3,suit3,playerNum4,card4,suit4,roundWinningPlayer,handNumber,trunfo,valueOfSpades,valueOfCopas,valueOfPaus,valueOfOuros,numOfSpadesinHand,numOfCopasInHand,numOfPausInHand,numOfOurosInHand,strategy
1,12,3,2,3,3,3,5,3,4,2,3,1,1,2,12,15,12,15,2,3,2,3,CarefulAGENT
1,13,1,2,3,1,3,2,1,4,11,1,1,2,2,12,15,12,15,2,3,2,2,RandomAGENT
1,12,1,2,4,1,3,15,1,4,6,1,3,3,2,12,15,12,15,2,2,2,2,GreedyAGENT
3,11,2,4,3,2,1,15,2,2,14,2,3,4,2,15,5,15,0,5,1,1,0,CortaAGENT
1,5,1,2,5,2,3,14,1,4,6,2,4,5,2,12,14,12,15,2,1,1,2,CarefulAGENT
4,11,3,1,11,0,2,4,3,3,15,3,4,6,2,0,0,13,6,0,0,3,2,GreedyAGENT
3,12,2,4,3,0,1,13,0,2,2,2,1,7,2,15,0,0,0,4,0,0,0,CortaAGENT
3,14,3,4,13,3,1,5,0,2,6,3,1,8,2,15,0,0,0,3,0,0,0,CarefulAGENT
3,12,0,4,2,0,1,14,0,2,4,2,4,9,2,15,0,0,0,2,0,0,0,RandomAGENT
2,13,2,3,6,0,4,4,0,1,15,0,1,10,2,4,0,0,0,1,0,0,0,GreedyAGENT
